input,output
"you are back, aren't you, harold?",あなたは戻ったのね ハロルド?
my opponent is shark.,俺の相手は シャークだ。
this is one thing in exchange for another.,引き換えだ ある事とある物の
"yeah, i'm fine.",もういいよ ごちそうさま ううん
don't come to the office anymore. don't call me either.,もう会社には来ないでくれ 電話もするな
looks beautiful.,きれいだ。
"get him out of here, because i will fucking kill him.",連れて行け 殺しそうだ わかったか?
you killed him!,殺したのか!
"okay, then who?",わぁ~! いつも すみません。 いいのよ~。
it seems a former employee...,カンパニーの元社員が
so where are they?,じゃアイツラはどこ?
"or i don't know, just...",相手を陥れるとか...
no child should ever have to endure that.,必要のない子 耐えるにしている。
"i know the visual's incongruous, but...",犯人像とは 違和感のある見た目だが
aw!,あ!
let me show you more detailed ones.,もっと詳しいの 見せますから。
you're gonna bring that up right now?,それ今持ち出すか?
"well then, when you're done work, come to the medical office.",じゃあ 仕事終わったら 医局に来てよ。
um...please go ahead and eat without me.,あの... 皆さんで 先 済ませてください。
rokka is always forever,六花ちゃんは ずっと ずっとずっと
thank you!,ほら 別に変なことじゃないでしょ?
that's a funnylooking dress.,変な子供服
the captain asked me to reexamine the dna from the bomb... to see if anyone else might have handled it.,船長から他の誰かが扱った形跡がないか dnaを再調査するように頼まれました
if the rest of the book reads as well when you're done,もし 残りも上手く書けたら
"more ravishing than ever, big sister.",以前に増して魅力的だ
"yes, that's me.",也就是说...该不会是...
because you and i are gonna be friends for a long time. you might as well know now.,長いこと友達なのに 気付かなかったのか?
and bill talbot's tracker fell off the grid five minutes ago. ...taken by a witness here. we can show you these images now.,ビルのID信号も5分前に消えたわ
he's got some blood in his mouth.,口の中に血が見える
asamoto won't last like this!,"""ASAMOTOは このままじゃいけないと思う。"""
storm!,嵐には嵐の
i see... it doesn't look easy to get in...,なるほど 簡単にゃ入れそうにねえな
"and how's that news, exactly, the two of you being in danger, after doing something idiotic?",ニュースは? 確かに 二人の危険にさらされて
they make it into a creation,ある創作をします
i'll call you in the morning.,朝、電話する
we pioneered all sorts of new,次々に新しい柔軟な勤務体系を 開発していきました
single gunshot victim.,ルーズベルト・アイランド橋で
i don't have anywhere else to go.,僕、帰る所が無いんだ
we have one for you.,今度は わしの番だ
why'd you tell?,どうして話した
